Name, Processor, RAM, Operating System, Display, Price 
Dell Inspiron 15 5000 Core i5 8th Gen - (8 GB/1 TB HDD/Windows 10 Home/2 GB Graphics) 5570 Laptop,Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,15.6 inch Display,57990,
HP Pentium Quad Core - (4 GB/1 TB HDD/DOS) 15-BE010TU Laptop,Intel Pentium Quad Core Processor,4 GB DDR3 RAM,DOS Operating System,15.6 inch Display,22985,
HP Core i7 7th Gen - (16 GB/2 TB HDD/Windows 10 Home/4 GB Graphics) 15-au627tx Laptop,Intel Core i7 Processor (7th Gen),16 GB DDR4 RAM,64 bit Windows 10 Operating System,15.6 inch Display,90073,
MSI P Core i7 7th Gen - (16 GB/1 TB HDD/DOS/4 GB Graphics) PE62 7RD Gaming Laptop,Intel Core i7 Processor (7th Gen),16 GB DDR4 RAM,DOS Operating System,15.6 inch Display,83990,
Lenovo Ideapad Core i5 7th Gen - (8 GB/1 TB HDD/128 GB SSD/Windows 10 Home) IP 520S Laptop,Intel Core i5 Processor (7th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,14 inch Display,57990,
Acer Aspire ES APU Dual Core A4 1st Gen - (4 GB/1 TB HDD/Linux) ES1-521-40L7 Laptop,AMD APU Dual Core A4 Processor (1st Gen),4 GB DDR3 RAM,64 bit Linux/Ubuntu Operating System,15.6 inch Display,21250,
HP Core i5 7th Gen - (8 GB/1 TB HDD/Windows 10 Home/2 GB Graphics) 15-AU620TX Laptop,Intel Core i5 Processor (7th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,15.6 inch Display,55990,
Acer Predator Helios 300 Core i7 7th Gen - (8 GB/1 TB HDD/128 GB SSD/Windows 10 Home/4 GB Graphics) G3...,Intel Core i7 Processor (7th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,15.6 inch Display,109990,
Acer Aspire 3 Celeron Dual Core - (2 GB/500 GB HDD/Windows 10) A315-31 Laptop,Intel Celeron Dual Core Processor,2 GB DDR3 RAM,64 bit Windows 10 Operating System,15.6 inch Display,19990,
Lenovo Core i3 6th Gen - (4 GB/1 TB HDD/Windows 10 Home) Ideapad 110 Laptop,Intel Core i3 Processor (6th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,15.6 inch Display,30490,
HP Envy Core i3 7th Gen - (4 GB/128 GB SSD/Windows 10 Home) 13-ad079TU Thin and Light Laptop,Intel Core i3 Processor (7th Gen),4 GB DDR3 RAM,64 bit Windows 10 Operating System,13.3 inch Display,52990,
Dell Inspiron 5000 Core i5 7th Gen - (8 GB/1 TB HDD/Windows 10 Home) 5378 2 in 1 Laptop,Intel Core i5 Processor (7th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,13.3 inch Touchscreen Display,67490,
Dell Inspiron 7000 Core i5 7th Gen - (8 GB/1 TB HDD/Windows 10 Home/4 GB Graphics) 7560 Laptop,Intel Core i5 Processor (7th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,15.6 inch Display,69990,
Dell Inspiron 5000 Core i7 6th Gen - (16 GB/2 TB HDD/Windows 10 Home/4 GB Graphics) 5559 Laptop,Intel Core i7 Processor (6th Gen),16 GB DDR3 RAM,64 bit Windows 10 Operating System,15.6 inch Display,78990,
HP Envy Core i5 8th Gen - (8 GB/256 GB SSD/Windows 10 Home) 13-ad126TU Thin and Light Laptop,Latest 8th Gen Intel Core i5 - 8250U Processor,8 GB DDR3 RAM,64 bit Windows 10 Operating System,13.3 inch Touchscreen Display,74990,
